id	expression_id	referenced_word_id	start	length
39786	8214	8214	0	4
39787	19244	19244	0	4
39788	30422	30422	0	7
39789	32459	32459	0	5
39790	32483	32483	0	5
39791	32533	32533	0	12
39792	32649	32649	0	13
39793	32663	32663	0	10
39794	32913	32913	0	4
39795	33048	33048	0	9
39796	33240	33240	0	13
39797	33279	33279	0	8
39798	33432	33432	0	4
39799	33558	33558	0	11
39800	34310	34310	0	8
39801	35466	35466	0	15
39802	40079	40079	0	15
39803	53528	53528	0	12
39804	57586	57586	0	6
39805	58135	58135	0	17
39806	59728	97	0	4
39807	59728	97	5	5
39808	59737	52	0	2
39809	59737	2797	3	8
39810	59738	513	0	6
39811	59738	231	7	4
39812	59739	513	0	6
39813	59739	80	7	4
39814	59740	513	0	6
39815	59740	233	7	5
39816	59741	119	0	6
39817	59741	7	7	3
39818	59745	5	0	2
39819	59745	58	3	5
39820	59745	67	9	4
39821	59762	1575	0	5
39822	59762	790	6	10
39823	59767	10	0	1
39824	59767	8	2	3
39825	59841	59840	0	8
39826	59890	13606	0	10
39827	59890	59889	11	12
39828	59895	1089	0	11
39829	59895	1340	12	11
39830	59907	59906	0	11
39831	59907	32436	12	4
39832	59916	6263	0	9
39833	59916	1999	10	8
39834	59962	545	0	6
39835	59962	5989	9	12
39836	59983	1350	0	6
39837	59983	19720	7	6
39838	60012	11272	0	7
39839	60012	153	8	5
39840	60028	16013	0	8
39841	60028	1387	9	5
39842	60035	9564	0	5
39843	60035	43	6	3
39844	60036	9564	0	5
39845	60036	43	6	3
39846	60036	7256	10	8
39847	60044	26	0	3
39848	60044	14	4	3
39849	60052	6306	0	9
39850	60052	100	10	3
39851	60058	3	0	2
39852	60058	636	3	7
39853	60060	29	0	2
39854	60061	59750	0	3
39855	60061	2142	4	7
39856	60064	19	0	1
39857	60064	1348	2	9
39858	60065	38	0	5
39859	60065	27	6	2
39860	60066	26	0	3
39861	60066	27	4	2
39862	60068	1672	0	7
39863	60068	702	8	9
39864	60082	2951	0	5
39865	60087	179	0	8
39866	60087	3701	9	6
39867	60088	821	0	5
39868	60088	132	6	6
39869	60089	255	0	6
39870	60089	3701	7	6
39871	60093	29	0	2
39872	60093	92	3	6
39873	60093	52	10	2
39874	60093	127	13	3
39875	60095	30643	0	5
39876	60095	10914	6	6
39877	60101	52	0	2
39878	60101	440	3	7
39879	60116	10	0	1
39880	60116	627	2	3
39881	60116	1888	6	5
39882	60128	726	0	4
39883	60128	1043	5	6
39884	60130	1	0	1
39885	60130	554	7	8
39886	60132	1016	0	6
39887	60133	2595	0	3
39888	60133	663	4	4
39889	60134	16	0	2
39890	60134	1831	3	9
39891	60134	10	13	1
39892	60137	996	0	8
39893	60137	5	9	2
39894	60139	52	0	2
39895	60139	6334	3	3
39896	60143	2790	0	4
39897	60143	20849	5	6
39898	60144	2790	0	4
39899	60144	7165	5	8
39900	60148	774	0	12
39901	60148	7145	13	5
39902	60170	5	7	2
39903	60170	127	10	4
39904	60183	17244	0	5
39905	60183	3433	6	6
39906	60185	6628	5	6
39907	60203	39	0	6
39908	60203	7	7	3
39909	60204	1711	0	6
39910	60204	19	7	1
39911	60204	326	9	6
39912	60211	71	0	2
39913	60211	7	3	3
39914	60211	292	7	1
39915	60212	14	0	3
39916	60212	39	4	6
39917	60213	440	0	6
39918	60213	32343	7	5
39919	60214	33	0	1
39920	60240	97	0	4
39921	60240	10	5	1
39922	60241	64	0	4
39923	60241	3	5	2
39924	60262	8	6	4
39925	60285	5	0	2
39926	60285	223	3	5
39927	60303	5	0	2
39928	60303	432	3	4
39929	60304	16	0	2
39930	60312	80	0	4
39931	60312	1547	5	8
39932	60314	6579	0	2
39933	60314	24	3	2
39934	60344	14	4	3
39935	60374	143	2	5
39936	60374	143	8	6
39937	60433	32343	0	5
39938	60433	513	6	7
39939	60434	32343	0	5
39940	60434	116	6	8
39941	60444	16	0	2
39942	60444	757	3	7
39943	60448	855	0	5
39944	60448	5	6	2
39945	60448	15997	9	7
39946	60465	56	3	5
39947	60466	427	0	5
39948	60466	7	6	3
39949	60527	2585	0	7
39950	60560	5341	0	4
39951	60560	10	5	1
39952	60560	14024	7	8
39953	60560	4104	16	8
